student_id,C11,C12,C13,C14,C21,C22,C23,C31,C32,C33,C41,C42,C43
SYN-02326,4.8,4.7,4.0,4.3,4.5,4.4,4.5,4.5,4.3,4.4,4.1,4.3,4.0
SYN-02327,3.9,3.8,3.5,4.4,3.7,3.9,3.6,3.7,3.9,3.7,3.8,4.1,3.7
SYN-02328,3.7,3.6,4.5,4.3,4.3,3.9,3.7,4.0,4.0,3.7,3.6,3.5,4.3
SYN-02329,4.1,4.5,4.3,4.6,4.5,4.4,4.5,4.4,4.3,4.7,4.3,4.4,4.0
SYN-02330,4.6,4.3,4.4,4.2,4.5,3.9,4.7,4.5,4.4,4.0,4.6,4.3,4.9
SYN-02331,4.2,4.6,4.1,4.4,4.2,4.0,4.2,3.8,4.7,4.1,4.1,4.2,3.8
SYN-02332,4.6,3.9,3.8,4.1,3.8,4.6,4.1,3.2,4.2,4.3,4.0,3.8,4.1
SYN-02333,3.5,3.4,3.3,3.7,3.9,3.8,3.2,3.9,3.9,4.1,3.4,3.7,3.8
SYN-02334,3.9,4.2,4.1,3.8,3.8,4.4,3.8,3.7,4.2,4.1,3.7,3.9,3.8
SYN-02335,4.3,5.0,4.4,4.2,5.0,4.8,4.7,4.3,4.9,4.8,4.6,4.0,4.5
SYN-02336,4.9,4.5,4.3,4.3,4.4,4.2,4.4,4.8,4.8,4.2,4.8,4.6,4.6
SYN-02337,4.5,4.1,4.3,4.6,4.0,4.1,4.5,4.1,4.6,4.1,4.4,4.5,4.2
SYN-02338,4.1,4.0,4.2,3.9,4.2,4.4,3.9,4.1,4.4,3.6,4.8,4.5,3.8
SYN-02339,3.6,4.2,3.9,4.5,4.3,4.2,4.0,4.7,4.4,4.4,4.6,3.9,4.6
SYN-02340,3.9,4.1,3.9,3.4,4.3,3.4,3.7,3.8,3.4,3.6,4.0,3.9,3.9
SYN-02341,4.2,4.5,4.3,4.0,4.4,4.1,4.7,4.3,5.0,4.7,4.4,4.6,3.8
SYN-02342,4.6,4.1,4.4,4.1,4.2,4.3,4.4,4.3,4.3,3.9,5.0,4.4,4.5
SYN-02343,4.3,4.1,4.4,4.5,4.8,5.0,4.8,3.8,4.2,4.5,4.3,4.4,3.7
SYN-02344,4.3,3.5,3.5,3.7,4.0,3.5,3.7,4.4,4.0,4.1,3.6,4.0,4.0
SYN-02345,3.2,3.4,2.9,3.6,3.3,3.4,3.7,3.6,3.4,3.1,3.8,3.0,3.6
SYN-02346,4.1,4.9,4.9,4.0,4.7,4.7,4.8,4.7,4.3,4.5,5.0,4.3,4.7
SYN-02347,4.4,3.7,3.6,3.7,4.2,3.7,4.0,4.4,4.0,3.8,4.1,4.0,4.2
SYN-02348,4.4,4.0,4.5,4.0,3.7,4.6,3.9,3.6,4.6,3.7,3.7,3.7,3.9
SYN-02349,4.7,3.6,4.7,4.3,4.3,5.0,4.5,4.6,4.4,4.7,4.9,3.7,4.8
SYN-02350,4.5,4.2,3.9,3.7,4.8,3.8,4.5,4.2,4.7,4.0,3.6,4.1,3.6
SYN-02351,5.0,4.8,4.8,4.8,4.4,4.5,4.6,5.0,4.2,4.4,4.5,4.4,4.1
SYN-02352,3.6,3.9,4.7,4.4,4.7,4.2,4.4,4.9,4.9,4.7,4.5,4.6,4.5
SYN-02353,4.4,4.3,4.8,4.1,4.9,4.4,4.0,4.3,4.2,4.3,4.3,4.2,4.3
SYN-02354,3.7,4.0,3.6,3.8,3.7,3.9,3.7,3.5,3.4,3.8,4.1,3.7,3.5
SYN-02355,4.5,4.5,4.4,4.2,4.6,4.7,4.3,4.4,4.3,4.2,4.3,4.6,4.2
SYN-02356,4.3,4.1,4.0,4.4,4.1,4.2,4.7,4.0,4.8,4.2,4.0,4.1,4.3
SYN-02357,4.4,4.3,4.1,4.4,3.5,4.1,4.2,4.2,3.6,3.8,4.0,4.4,4.6
SYN-02358,4.1,3.9,4.5,5.0,4.6,4.0,5.0,4.5,4.0,4.8,4.0,4.1,4.5
SYN-02359,3.6,3.6,3.6,3.9,2.9,3.7,3.5,3.4,3.4,2.8,3.3,4.0,3.8
SYN-02360,4.3,3.9,4.6,4.7,4.7,4.1,4.1,4.8,4.0,4.5,3.8,4.3,4.5
SYN-02361,3.8,4.0,3.5,3.6,4.0,4.0,3.9,4.1,3.3,3.7,4.4,4.2,4.0
SYN-02362,3.7,4.0,3.9,3.3,4.0,3.5,4.0,3.2,4.2,3.6,3.4,3.5,3.6
SYN-02363,3.7,4.1,3.7,3.0,3.3,4.5,3.7,4.0,3.6,3.4,3.5,3.7,3.5
SYN-02364,5.0,4.4,4.3,4.8,4.9,4.6,4.4,4.0,5.0,4.9,4.5,4.6,4.5
SYN-02365,4.5,3.7,3.8,3.8,4.1,4.0,4.0,3.7,4.4,3.8,4.3,4.9,3.7
SYN-02366,4.8,4.7,5.0,4.7,4.8,4.8,4.7,5.0,4.8,4.9,4.8,4.6,4.7
SYN-02367,4.2,4.2,4.4,4.6,3.9,4.1,4.0,3.7,4.2,4.2,3.7,3.9,3.9
SYN-02368,3.1,3.6,3.3,3.7,3.7,3.7,3.7,4.1,3.4,3.4,3.8,3.6,3.9
SYN-02369,4.0,4.4,3.8,3.4,3.9,3.8,4.0,4.0,3.6,3.5,3.8,3.1,3.8
SYN-02370,4.5,4.9,4.0,4.6,5.0,4.8,4.9,4.7,4.1,4.7,4.8,4.3,4.6
SYN-02371,3.3,4.0,4.0,4.6,4.0,4.1,4.1,4.0,4.4,3.5,4.5,4.1,4.5
SYN-02372,3.2,3.3,3.9,4.2,3.8,4.2,4.3,4.2,4.0,4.0,3.8,4.0,3.7
SYN-02373,4.0,4.4,4.1,4.0,4.4,4.4,4.2,4.2,4.4,4.5,4.3,3.9,4.2
SYN-02374,4.3,4.1,4.5,4.5,4.6,4.1,4.4,4.4,4.5,4.4,4.4,4.3,4.7
SYN-02375,4.3,4.5,4.9,4.3,4.4,4.8,4.2,4.8,4.4,4.7,4.2,4.9,4.2
SYN-02376,4.9,4.4,5.0,4.7,5.0,4.5,4.6,5.0,4.3,4.5,4.9,4.4,4.9
SYN-02377,4.1,3.6,4.4,3.7,4.3,4.1,3.9,3.7,4.2,3.8,4.4,4.4,4.6
SYN-02378,3.8,3.6,3.6,3.6,3.8,3.9,4.1,3.7,3.3,3.6,4.2,3.3,4.0
SYN-02379,3.9,3.8,4.2,4.5,4.2,4.0,3.7,4.0,3.7,4.0,4.0,3.3,4.5
SYN-02380,3.9,4.2,4.5,4.7,4.1,3.5,4.6,3.9,4.4,4.4,3.3,3.8,4.2
SYN-02381,3.1,3.5,3.9,3.8,4.0,4.0,3.4,3.5,4.1,4.3,3.6,3.9,4.1
SYN-02382,3.9,3.8,3.7,4.5,3.9,4.0,4.0,3.6,3.9,3.8,3.8,4.0,3.6
SYN-02383,4.0,4.5,4.2,4.2,3.7,4.6,4.5,4.5,4.4,3.9,4.4,4.1,4.0
SYN-02384,4.3,4.7,4.6,4.4,4.2,4.1,3.9,4.1,4.5,4.7,3.9,3.6,4.0
SYN-02385,4.5,4.8,4.6,4.6,4.0,4.0,3.8,4.0,4.5,4.7,4.3,4.1,3.9
SYN-02386,3.9,4.0,3.5,4.2,3.8,4.2,3.9,4.0,3.7,3.8,4.1,3.9,3.6
SYN-02387,4.2,4.2,4.5,4.5,4.1,4.0,4.1,4.0,4.3,4.4,4.5,4.0,4.0
SYN-02388,3.8,3.3,3.5,3.9,4.0,4.0,3.6,3.7,3.8,3.8,4.1,3.5,3.5
SYN-02389,4.4,4.1,3.9,4.1,4.4,4.7,4.7,5.0,4.5,4.6,4.4,4.5,5.0
SYN-02390,4.6,4.7,4.2,4.7,4.8,4.9,4.8,4.5,4.5,4.5,4.6,4.9,4.9
SYN-02391,3.8,4.2,2.8,3.4,3.6,3.4,3.3,3.0,3.5,3.8,3.8,3.3,3.6
SYN-02392,4.3,3.4,3.8,4.0,3.9,4.1,3.4,3.6,4.1,3.4,4.1,4.0,4.1
SYN-02393,3.5,3.8,3.3,3.6,3.7,3.4,3.7,3.3,3.8,4.2,3.3,3.7,3.2
SYN-02394,3.7,4.2,3.8,4.2,4.1,4.0,3.7,4.2,4.1,3.5,3.7,3.1,3.6
SYN-02395,4.1,3.9,3.9,4.6,4.5,4.0,4.4,4.5,4.4,4.3,4.5,4.4,3.8
SYN-02396,3.6,3.5,4.0,3.5,3.5,4.0,3.8,4.3,3.4,3.5,4.0,3.3,4.1
SYN-02397,3.5,4.1,3.3,3.9,3.5,4.5,3.6,3.6,4.0,3.7,4.1,3.7,3.6
SYN-02398,3.8,3.5,4.0,4.1,4.0,4.0,3.3,3.7,3.8,4.3,3.7,3.2,3.5
SYN-02399,4.1,3.6,4.6,3.8,4.4,3.9,4.7,4.2,4.1,4.4,4.0,4.4,4.1
SYN-02400,4.0,4.2,3.9,4.2,4.3,3.5,4.6,4.5,3.7,3.6,4.5,4.5,4.4
SYN-02401,3.5,4.5,3.7,4.0,4.0,4.4,4.0,4.1,3.9,3.6,3.3,4.0,3.5
SYN-02402,4.4,4.3,4.3,3.9,4.6,4.4,3.9,4.9,4.2,3.9,4.0,3.8,4.7
SYN-02403,4.3,4.2,4.2,4.4,3.9,4.1,3.8,4.0,4.1,3.1,3.8,4.1,4.0
SYN-02404,4.0,4.3,3.9,3.7,4.5,4.4,3.9,4.1,4.4,4.1,4.3,4.2,4.0
SYN-02405,4.9,4.5,4.9,4.8,4.7,4.4,4.8,4.8,4.5,4.3,4.3,4.7,4.9
SYN-02406,5.0,4.7,4.2,4.6,5.0,4.5,5.0,4.7,4.9,5.0,4.1,4.9,4.6
SYN-02407,3.5,3.7,4.3,4.1,3.1,3.5,4.0,3.7,3.7,3.3,3.5,3.3,3.2
SYN-02408,4.1,4.2,4.3,4.2,4.8,4.2,4.9,4.3,4.6,4.6,4.2,4.4,4.3
SYN-02409,4.6,4.4,4.3,4.5,4.6,5.0,4.5,4.5,4.6,4.2,4.0,4.4,4.8
SYN-02410,4.2,3.2,4.0,3.1,3.9,3.9,3.3,4.1,4.3,3.8,3.8,4.2,3.5
SYN-02411,4.2,4.2,4.5,4.5,4.3,4.4,4.3,4.3,4.3,4.3,3.9,4.4,3.9
SYN-02412,5.0,4.6,4.7,4.6,4.7,5.0,4.3,4.3,4.8,4.6,4.8,5.0,4.4
SYN-02413,4.0,3.5,3.8,3.4,3.8,3.8,3.5,3.4,4.0,3.7,4.1,3.6,4.2
SYN-02414,3.6,4.3,3.9,4.0,3.6,4.1,4.1,3.8,3.2,3.5,3.5,4.0,3.7
SYN-02415,4.4,4.4,5.0,4.6,4.6,4.4,4.5,4.3,4.7,4.2,4.8,4.3,4.8
SYN-02416,4.9,4.3,4.7,4.5,3.9,4.3,4.4,4.5,4.3,4.3,4.3,4.3,3.9
SYN-02417,4.3,4.0,4.2,4.2,4.2,4.1,4.5,4.3,4.3,4.0,4.3,4.7,4.7
SYN-02418,4.4,4.2,4.5,4.1,4.2,4.1,4.6,4.6,4.3,4.8,4.4,4.4,4.4
SYN-02419,4.0,4.1,4.3,4.3,4.5,4.1,4.4,4.4,4.4,4.3,3.9,3.7,4.1
SYN-02420,3.6,3.4,3.7,4.1,4.0,3.9,4.0,3.5,3.6,3.9,3.6,3.6,4.3
SYN-02421,4.6,5.0,4.0,4.4,4.7,4.6,3.9,4.5,5.0,4.6,4.7,4.4,4.6
SYN-02422,4.6,4.9,4.9,4.7,4.6,4.1,4.1,4.6,4.9,5.0,4.3,4.2,4.9
SYN-02423,3.9,3.6,4.0,4.0,4.5,4.4,3.9,4.5,4.2,4.4,4.5,4.0,4.3
SYN-02424,4.1,4.5,4.2,4.5,4.6,4.3,4.2,4.2,3.3,4.0,4.5,4.5,4.0
SYN-02425,3.7,3.6,3.9,4.3,3.9,3.5,3.6,4.1,3.2,3.5,3.9,4.1,3.8
SYN-02426,4.2,4.5,4.5,4.5,4.4,4.4,4.1,5.0,4.4,4.5,4.3,4.6,4.0
SYN-02427,3.9,4.4,5.0,4.8,4.2,4.6,4.2,4.5,4.6,4.7,3.9,4.0,4.4
SYN-02428,3.9,3.8,4.3,3.9,4.9,4.0,4.1,4.3,3.7,4.3,4.3,4.1,4.3
SYN-02429,4.7,5.0,5.0,4.3,4.2,4.6,4.0,4.8,4.6,4.7,4.5,4.7,4.7
SYN-02430,4.1,3.7,4.1,4.6,4.2,4.1,4.6,3.9,4.3,3.9,4.4,4.3,4.0
SYN-02431,4.3,4.7,3.8,4.3,4.6,4.3,4.4,3.8,4.1,4.6,4.2,4.0,4.7
SYN-02432,4.0,3.5,3.9,3.5,3.8,3.9,3.6,4.1,4.1,3.9,4.0,3.4,4.3
SYN-02433,4.2,3.9,4.2,4.4,4.3,3.9,4.4,4.2,4.3,4.0,4.5,4.2,4.5
SYN-02434,3.7,3.7,4.1,4.6,4.7,3.9,4.2,4.2,4.4,4.4,3.8,4.2,3.5
SYN-02435,4.5,4.2,3.9,4.4,4.2,4.7,4.0,4.9,4.5,4.7,4.0,4.8,3.9
SYN-02436,4.0,4.5,4.2,3.7,4.4,4.2,3.9,3.6,4.2,4.0,4.1,3.6,3.9
SYN-02437,4.3,4.7,4.1,4.6,4.4,4.2,3.9,3.9,4.3,4.0,4.0,4.1,4.1
SYN-02438,4.8,4.3,4.7,4.6,4.0,4.6,3.7,4.2,4.6,4.5,4.0,4.2,3.7
SYN-02439,3.6,4.2,3.9,4.1,4.1,4.1,4.4,4.0,4.3,3.3,4.4,3.7,3.7
SYN-02440,3.4,4.0,3.4,3.4,3.3,3.7,3.9,4.1,4.4,3.8,3.7,3.3,4.2
SYN-02441,4.9,4.7,4.9,4.6,4.1,5.0,5.0,5.0,4.8,4.8,4.9,4.9,4.8
SYN-02442,4.7,5.0,4.8,4.7,4.9,4.9,5.0,4.5,4.5,4.4,4.9,4.9,4.3
SYN-02443,3.9,4.2,3.7,3.8,4.0,3.4,3.8,4.1,3.6,4.0,3.8,3.5,3.7
SYN-02444,4.3,4.2,4.4,4.5,4.4,4.4,4.5,4.6,4.1,4.4,3.8,4.4,4.5
SYN-02445,4.2,4.1,4.2,4.0,3.8,3.7,3.9,3.8,4.0,3.9,4.1,4.0,4.2
SYN-02446,4.4,4.2,4.3,4.4,5.0,4.0,4.3,3.9,4.3,4.1,4.3,4.3,4.1
SYN-02447,3.8,4.7,4.6,4.3,4.0,4.3,4.4,4.5,4.6,4.6,3.8,4.2,4.6
SYN-02448,3.8,4.5,4.7,4.5,4.3,4.0,4.2,3.7,3.9,3.9,4.1,4.0,4.2
SYN-02449,4.2,3.7,4.0,3.8,4.0,4.1,4.2,4.1,4.0,3.5,3.6,3.7,4.0
SYN-02450,3.6,4.1,4.0,3.4,3.6,4.3,4.2,3.7,3.6,3.2,4.4,4.0,4.5
SYN-02451,3.8,4.0,4.1,4.4,4.0,3.9,3.9,3.6,3.8,3.9,4.3,3.8,4.2
SYN-02452,3.9,4.3,4.1,4.1,4.2,4.2,4.2,4.5,4.4,4.0,3.8,4.0,3.3
SYN-02453,4.4,3.9,4.5,4.8,3.7,4.2,3.9,3.7,4.1,4.4,4.4,4.2,3.7
SYN-02454,4.0,3.5,3.5,3.7,4.3,4.1,4.0,3.7,3.8,3.5,4.4,4.6,4.1
SYN-02455,4.7,4.4,4.0,4.2,4.3,4.3,4.3,4.5,4.2,5.0,4.0,4.7,4.4
SYN-02456,4.9,4.9,4.8,4.4,4.6,4.8,4.8,4.4,5.0,4.0,4.6,4.4,4.8
SYN-02457,4.3,3.6,4.7,4.1,4.1,3.6,4.0,4.3,4.1,4.0,4.0,3.6,3.6
SYN-02458,4.6,4.5,4.6,4.0,4.2,4.7,3.9,4.6,4.1,4.0,4.3,3.9,3.7
SYN-02459,4.4,4.5,4.7,4.6,5.0,4.8,4.6,4.5,4.7,3.7,4.2,3.8,4.6
SYN-02460,4.1,5.0,4.2,4.4,4.2,4.2,4.0,4.0,3.7,4.5,4.2,4.9,4.0
SYN-02461,4.7,4.7,4.6,4.3,4.1,4.6,4.0,4.3,4.2,4.0,4.3,4.4,3.9
SYN-02462,4.6,3.8,4.1,4.3,4.6,4.7,4.5,4.6,4.4,4.6,4.6,4.3,4.4
SYN-02463,4.5,4.9,4.7,4.0,4.0,4.2,4.4,4.4,4.7,4.8,4.4,4.3,4.5
SYN-02464,4.1,3.9,3.6,3.6,3.4,3.8,4.0,4.0,4.1,4.2,3.4,3.9,3.9
SYN-02465,4.5,4.3,4.9,4.3,3.8,4.5,4.4,5.0,4.7,4.4,4.4,4.4,5.0
SYN-02466,4.7,4.1,4.4,4.5,4.2,4.0,4.7,4.3,4.9,4.5,4.4,3.8,4.9
SYN-02467,4.0,3.8,3.7,4.4,3.6,3.8,4.1,4.4,3.9,3.7,3.9,4.2,4.3
SYN-02468,3.8,4.2,3.8,4.5,4.3,3.9,4.7,4.3,4.3,4.2,4.2,4.1,4.0
SYN-02469,4.8,4.3,4.3,4.4,4.9,4.8,4.3,4.8,4.5,4.2,4.3,4.9,5.0
SYN-02470,4.2,4.0,4.1,3.9,3.9,3.9,4.1,4.2,4.1,4.1,4.4,4.1,4.1
SYN-02471,4.5,5.0,4.4,4.8,4.4,4.7,4.7,4.9,4.5,4.2,4.3,4.9,5.0
SYN-02472,5.0,4.6,5.0,4.7,4.9,5.0,5.0,5.0,4.8,5.0,4.8,5.0,4.6
SYN-02473,4.0,3.6,3.7,3.8,4.4,4.3,4.2,3.9,4.0,4.3,4.1,3.9,4.4
SYN-02474,4.0,3.8,3.6,3.6,3.6,3.9,4.0,3.3,3.1,3.4,3.6,4.1,3.6
SYN-02475,4.4,4.4,4.0,4.7,4.1,4.8,4.3,4.2,4.0,4.4,5.0,4.4,4.4
SYN-02476,4.3,4.6,4.5,4.4,4.6,3.9,4.4,4.1,4.5,4.2,4.3,4.1,4.8
SYN-02477,3.9,3.9,4.6,4.3,3.5,4.5,4.6,4.6,4.3,3.8,4.1,3.7,3.9
SYN-02478,4.4,4.5,4.8,4.6,4.6,4.6,5.0,5.0,4.6,4.8,4.5,4.9,4.6
SYN-02479,3.5,4.3,3.3,3.0,4.0,3.6,3.5,4.6,4.0,3.7,3.5,3.9,3.2
SYN-02480,4.3,4.4,4.5,4.4,4.2,4.7,3.9,4.4,4.3,4.7,4.3,4.6,4.5
SYN-02481,3.4,4.0,3.5,4.1,3.8,4.3,3.9,3.8,4.3,3.7,4.3,4.1,3.9
SYN-02482,4.4,5.0,5.0,4.6,4.9,5.0,4.8,4.9,5.0,5.0,4.8,4.4,4.4
SYN-02483,4.7,4.6,4.4,5.0,5.0,4.7,4.9,4.4,5.0,4.3,5.0,4.3,4.8
SYN-02484,4.3,3.4,3.9,4.1,4.1,4.0,4.1,3.7,4.5,3.4,4.3,4.0,4.1
SYN-02485,4.2,4.2,3.8,3.9,3.6,3.9,4.1,4.2,4.1,3.5,3.8,3.8,3.6
SYN-02486,4.3,4.5,4.9,4.2,4.2,4.3,4.6,4.9,4.5,4.1,4.1,4.6,4.8
SYN-02487,4.6,3.7,4.1,3.8,3.8,3.8,4.0,3.8,4.8,3.9,4.4,3.9,4.7
SYN-02488,4.3,4.4,4.0,4.5,4.3,4.1,3.9,4.1,4.1,4.4,4.1,3.6,4.4
SYN-02489,4.6,3.7,4.8,4.6,4.0,3.9,4.5,3.8,4.0,3.8,4.2,4.6,4.3
SYN-02490,3.8,3.4,3.6,3.2,3.5,3.3,3.5,3.5,3.4,4.2,4.1,4.0,4.1
SYN-02491,4.6,4.2,4.2,4.3,4.1,3.9,4.3,3.7,4.2,3.9,4.2,4.3,4.1
SYN-02492,3.5,3.6,4.1,3.8,4.1,4.0,3.9,4.1,3.8,4.1,3.8,4.7,3.6
SYN-02493,3.9,3.9,3.6,4.2,3.9,3.3,4.2,3.8,4.0,4.2,3.9,3.9,4.8
SYN-02494,4.1,4.3,4.4,5.0,4.5,4.8,4.6,4.9,4.7,4.8,5.0,4.8,4.5
SYN-02495,3.9,4.5,3.9,3.8,3.3,4.0,4.0,3.9,3.8,4.6,4.0,4.1,3.8
SYN-02496,4.4,4.7,4.4,4.5,4.6,4.3,4.6,4.5,4.8,4.3,3.9,4.4,4.6
SYN-02497,4.4,3.9,4.3,4.4,4.3,3.9,3.9,4.2,4.6,4.1,4.1,3.7,4.0
SYN-02498,3.9,4.1,3.6,4.0,3.8,4.4,3.8,3.9,4.2,4.0,4.8,4.4,4.1
SYN-02499,4.6,3.8,4.8,4.6,4.5,4.6,4.7,4.4,4.6,4.8,4.6,4.4,4.6
SYN-02500,4.7,4.6,4.0,4.5,4.5,4.7,4.3,4.2,3.9,4.1,4.7,4.4,4.3
SYN-02501,4.8,4.7,4.2,4.8,3.9,4.5,4.5,4.7,4.5,4.3,4.4,5.0,4.4
SYN-02502,4.7,3.9,4.3,4.7,4.1,4.7,4.3,4.2,4.3,5.0,4.6,4.3,4.8
SYN-02503,4.3,4.0,4.4,4.4,4.3,3.9,3.7,3.6,3.9,4.0,4.0,4.1,4.6
SYN-02504,3.9,4.0,3.4,4.7,3.6,3.8,4.2,4.1,4.5,4.2,4.0,4.3,4.3
SYN-02505,3.6,4.1,3.8,3.8,3.9,3.7,3.7,4.1,3.4,3.5,4.0,3.8,4.1
SYN-02506,4.0,3.5,3.9,4.1,4.0,3.8,3.8,3.7,3.5,3.5,4.0,3.6,4.1
SYN-02507,4.8,4.6,4.9,5.0,5.0,5.0,5.0,4.6,5.0,4.9,4.6,4.8,4.9
SYN-02508,4.9,4.4,5.0,4.4,4.8,4.0,4.6,4.7,4.3,5.0,4.8,4.5,4.8
SYN-02509,3.5,4.1,4.0,3.8,3.9,3.3,4.2,3.7,4.0,4.0,4.0,3.4,3.5
SYN-02510,4.4,3.3,3.4,3.8,3.8,3.6,3.9,4.0,3.7,3.7,3.7,3.6,3.2
SYN-02511,4.5,4.6,4.3,3.7,4.2,4.6,3.9,4.6,4.2,4.4,4.2,4.0,4.8
SYN-02512,4.6,4.6,4.7,4.5,4.7,4.2,4.8,4.8,4.5,4.3,4.0,4.5,4.9
SYN-02513,4.0,4.7,4.3,4.3,4.0,4.2,4.6,4.6,4.5,4.2,4.1,4.4,4.3
SYN-02514,4.2,4.0,4.0,4.2,4.2,4.5,4.0,4.3,4.7,4.3,4.5,3.9,3.9
SYN-02515,4.1,4.1,4.5,3.9,4.1,4.5,4.2,4.2,4.2,3.8,3.8,3.7,4.2
SYN-02516,4.6,4.5,4.7,4.8,4.4,4.3,4.8,4.1,4.0,4.2,4.2,4.3,4.1
SYN-02517,4.3,4.1,4.6,3.9,4.2,4.1,4.3,4.5,4.3,4.2,4.4,4.5,4.3
SYN-02518,3.5,3.6,2.9,3.3,3.5,3.3,3.3,3.5,3.5,3.6,3.2,3.0,3.7
SYN-02519,3.9,3.9,3.8,4.5,4.2,4.2,4.3,4.1,4.4,3.8,3.8,3.8,4.2
SYN-02520,4.1,3.8,3.8,4.3,3.7,4.0,3.7,4.2,4.1,3.5,3.8,3.3,4.2
SYN-02521,4.9,3.6,3.8,4.3,4.3,4.1,3.7,4.4,4.5,5.0,4.7,3.9,4.3
SYN-02522,5.0,4.8,5.0,5.0,5.0,5.0,5.0,4.8,4.6,5.0,4.9,4.9,5.0
SYN-02523,4.7,4.0,4.3,4.2,4.4,3.6,3.9,4.3,4.6,4.4,4.5,4.4,4.7
SYN-02524,4.5,3.9,4.4,4.2,4.8,3.9,4.1,3.8,3.8,4.2,4.2,4.3,4.2
SYN-02525,4.5,4.4,4.2,4.3,4.5,4.6,4.7,4.7,5.0,4.2,4.5,4.3,4.9
SYN-02526,4.2,4.7,4.8,4.5,4.5,4.4,4.3,4.2,4.3,4.9,4.1,4.4,4.6
SYN-02527,4.3,4.5,3.9,4.7,4.7,4.3,4.1,4.6,4.0,4.0,4.3,4.8,4.5
SYN-02528,4.2,3.9,4.4,4.5,4.4,5.0,4.4,3.7,4.3,4.5,4.5,4.4,4.3
SYN-02529,4.3,4.9,4.8,5.0,5.0,5.0,4.6,4.5,4.7,4.7,4.7,5.0,5.0
SYN-02530,4.4,3.8,3.5,3.6,4.1,3.5,4.0,3.7,3.5,4.2,3.6,3.6,3.8
SYN-02531,4.2,5.0,4.7,4.2,4.2,3.8,4.4,4.1,4.4,3.8,4.4,4.9,4.4
SYN-02532,3.6,3.9,3.9,4.5,3.8,3.5,3.9,3.9,4.0,4.1,4.5,3.7,3.7
SYN-02533,3.8,4.6,4.1,4.7,4.2,4.9,4.0,4.7,4.7,4.6,4.1,4.6,4.4
SYN-02534,3.3,4.3,3.8,4.3,3.9,4.2,3.6,3.9,3.9,3.8,3.6,3.0,3.6
SYN-02535,4.3,3.6,3.7,3.6,4.1,3.8,4.4,4.3,4.1,4.1,3.8,3.8,4.3
SYN-02536,4.4,4.3,4.0,4.0,3.8,4.3,3.5,3.4,3.5,3.5,4.5,4.3,3.7
SYN-02537,4.5,5.0,4.7,5.0,4.5,4.3,4.2,4.5,4.8,4.6,4.4,4.9,4.7
SYN-02538,4.5,4.3,4.4,4.7,4.3,4.2,4.4,4.5,4.9,4.2,4.6,4.4,4.5
SYN-02539,4.2,3.8,3.5,4.0,4.0,3.5,3.4,3.9,3.8,3.6,4.1,3.6,3.9
SYN-02540,4.6,4.1,3.7,4.1,4.3,4.5,4.1,4.7,3.8,4.3,4.1,4.6,3.8
SYN-02541,4.1,3.9,4.4,3.7,4.1,3.7,4.0,3.8,3.8,3.4,4.1,3.6,3.6
SYN-02542,3.3,3.4,3.9,3.9,4.0,3.5,3.8,3.6,4.0,3.9,3.6,4.1,3.9
SYN-02543,3.7,3.6,3.7,4.6,3.8,4.7,3.8,3.8,4.4,4.4,4.3,4.3,3.9
SYN-02544,4.3,4.2,4.0,4.1,4.4,4.2,3.4,4.4,4.3,4.0,4.1,4.1,3.5
SYN-02545,4.9,4.9,5.0,4.8,5.0,4.8,5.0,5.0,5.0,5.0,5.0,4.6,5.0
SYN-02546,4.1,5.0,4.5,4.8,4.5,3.6,4.1,4.1,4.2,4.5,4.5,3.6,4.3
SYN-02547,3.6,4.1,3.9,3.7,3.8,3.2,3.9,3.6,3.5,4.1,3.8,3.5,3.5
SYN-02548,4.1,4.1,4.0,3.6,3.7,3.8,3.9,4.0,4.0,4.0,4.6,4.3,4.4
SYN-02549,4.7,4.6,4.7,4.6,4.8,4.3,4.8,4.6,4.0,4.6,4.2,4.4,4.5
SYN-02550,4.5,4.9,5.0,5.0,4.8,5.0,4.9,4.8,4.4,4.9,5.0,4.7,4.9
SYN-02551,3.6,4.0,3.7,3.7,3.6,3.5,3.3,3.6,3.8,3.7,4.1,3.9,4.0
SYN-02552,2.9,4.0,3.6,3.7,3.8,3.5,3.2,4.0,3.3,3.2,3.5,3.4,3.5
SYN-02553,4.8,5.0,5.0,4.6,4.6,4.7,4.7,4.7,4.5,4.9,4.7,4.6,5.0
SYN-02554,4.6,4.3,4.9,5.0,4.5,4.2,4.4,4.0,4.1,3.8,4.1,4.0,4.5
SYN-02555,3.7,4.0,4.1,4.2,3.8,4.0,4.0,4.3,4.1,4.3,3.4,3.7,4.2
SYN-02556,4.6,4.3,4.2,4.6,3.8,4.6,4.4,4.2,4.5,4.3,4.4,4.4,4.6
SYN-02557,3.3,2.7,2.9,3.0,3.4,3.4,3.8,3.0,3.7,2.7,3.3,3.4,3.3
SYN-02558,4.1,4.2,3.8,4.5,4.3,4.3,4.1,4.1,4.4,4.7,3.8,3.8,4.3
SYN-02559,4.2,4.4,4.3,4.5,4.2,4.0,4.1,4.3,3.9,4.3,4.3,4.2,4.4
SYN-02560,4.0,4.2,4.2,4.8,5.0,4.3,4.5,4.3,4.6,4.3,4.6,4.7,4.2
SYN-02561,3.9,3.3,3.8,3.7,3.8,3.8,3.7,3.8,3.9,3.9,3.9,3.7,4.2
